priceUsd,time,circulatingSupply,date
94169.6144375285452830,1732125600000,19785021.0000000000000000,2024-11-20T18:00:00.000Z
93706.0544885578054115,1732129200000,19785021.0000000000000000,2024-11-20T19:00:00.000Z
94023.4119272545745867,1732132800000,19785078.0000000000000000,2024-11-20T20:00:00.000Z
94262.6019331542183029,1732136400000,19785078.0000000000000000,2024-11-20T21:00:00.000Z
94451.5600394101167457,1732140000000,19785112.0000000000000000,2024-11-20T22:00:00.000Z
94234.0556332281050094,1732143600000,19785112.0000000000000000,2024-11-20T23:00:00.000Z
94251.4066930268902840,1732147200000,19785146.0000000000000000,2024-11-21T00:00:00.000Z
94819.5620293905660005,1732150800000,19785146.0000000000000000,2024-11-21T01:00:00.000Z
94786.8656103794412559,1732154400000,19785196.0000000000000000,2024-11-21T02:00:00.000Z
94480.2542397926064999,1732158000000,19785196.0000000000000000,2024-11-21T03:00:00.000Z
95843.6610690929881666,1732161600000,19785225.0000000000000000,2024-11-21T04:00:00.000Z
97270.5427818335419280,1732165200000,19785225.0000000000000000,2024-11-21T05:00:00.000Z
97161.6015939174527170,1732168800000,19785259.0000000000000000,2024-11-21T06:00:00.000Z
97063.0387779053577957,1732172400000,19785259.0000000000000000,2024-11-21T07:00:00.000Z
96993.0785195887990077,1732176000000,19785303.0000000000000000,2024-11-21T08:00:00.000Z
97068.9170734443543997,1732179600000,19785303.0000000000000000,2024-11-21T09:00:00.000Z
97596.7265295726484063,1732183200000,19785340.0000000000000000,2024-11-21T10:00:00.000Z
97628.4223970691951320,1732186800000,19785340.0000000000000000,2024-11-21T11:00:00.000Z
97855.8738038075918130,1732190400000,19785378.0000000000000000,2024-11-21T12:00:00.000Z
97447.7090957755996888,1732194000000,19785378.0000000000000000,2024-11-21T13:00:00.000Z
97539.1210486395976698,1732197600000,19785425.0000000000000000,2024-11-21T14:00:00.000Z
97111.3843888222892928,1732201200000,19785425.0000000000000000,2024-11-21T15:00:00.000Z
96733.0995865165599816,1732204800000,19785475.0000000000000000,2024-11-21T16:00:00.000Z
97222.6582342312891223,1732208400000,19785475.0000000000000000,2024-11-21T17:00:00.000Z
97927.0839757465688615,1732212000000,19785481.0000000000000000,2024-11-21T18:00:00.000Z
98227.8860103403096966,1732215600000,19785481.0000000000000000,2024-11-21T19:00:00.000Z
97941.0181688992154846,1732219200000,19785534.0000000000000000,2024-11-21T20:00:00.000Z
98139.4664305487385472,1732222800000,19785534.0000000000000000,2024-11-21T21:00:00.000Z
97939.5675448344296860,1732226400000,19785593.0000000000000000,2024-11-21T22:00:00.000Z
98317.7398991711243313,1732230000000,19785593.0000000000000000,2024-11-21T23:00:00.000Z
98388.5726432166541822,1732233600000,19785615.0000000000000000,2024-11-22T00:00:00.000Z
97994.2370844320807049,1732237200000,19785615.0000000000000000,2024-11-22T01:00:00.000Z
98072.6234363889981584,1732240800000,19785646.0000000000000000,2024-11-22T02:00:00.000Z
