exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
binance,403,KAVA,kava,BTC,bitcoin,0.0000054800000000,0.5268515663728844,507386.8771977682323985,0.0016312115566292,,1733801180675
binance,404,ZRX,0x,BTC,bitcoin,0.0000058000000000,0.5576166213435637,504489.6977450557004442,0.0016218973374066,,1733801173915
binance,405,TWT,trust-wallet-token,BTC,bitcoin,0.0000130000000000,1.2498303581838498,501816.8874536811460639,0.0016133044485640,,1733801187004
binance,406,CELO,celo,BTC,bitcoin,0.0000082300000000,0.7912387575271603,493158.7827306105456657,0.0015854692775781,,1733801186756
binance,407,DUSK,dusk-network,BTC,bitcoin,0.0000024800000000,0.2384291760227652,475510.0350551216296509,0.0015287298496148,,1733801179806
binance,408,KSM,kusama,BTC,bitcoin,0.0003544000000000,34.0722983800274117,475247.9137102659442781,0.0015278871487367,,1733801184247
binance,409,ZEN,horizen,BTC,bitcoin,0.0001389000000000,13.3539566732105177,473636.3992710631254987,0.0015227062481359,,1733801177147
binance,410,ARPA,arpa-chain,BTC,bitcoin,0.0000006000000000,0.0576844780700238,470579.5312047237690793,0.0015128786417452,,1733801180728
binance,411,CFX,conflux-network,USDC,usd-coin,0.1908000000000000,0.1908230470580132,457923.2182473847644533,0.0014721895248442,,1733801199457
binance,412,GAS,gas,BTC,bitcoin,0.0000532000000000,5.1146903888754467,454159.4445492341751191,0.0014600892687500,,1733801173683
binance,413,BLZ,bluzelle,BTC,bitcoin,0.0000014600000000,0.1403655633037247,449131.4827731370092788,0.0014439247408048,,1733801176430
binance,414,POWR,power-ledger,BTC,bitcoin,0.0000028400000000,0.2730398628647795,444395.8582406349815628,0.0014287000556338,,1733801174542
binance,415,XVS,venus,BTC,bitcoin,0.0000955000000000,9.1814460928121270,434987.2598065587951009,0.0013984521024701,,1733801185138
binance,416,VET,vechain,BNB,binance-coin,0.0000770600000000,0.0520011610582411,427935.1827418648411363,0.0013757801924875,,1733801177969
