id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
measurable-data-token,269,MDT,Measurable Data Token,676157012.5000000000000000,,36116030.1979437782867488,8410759.0166052415881961,0.0534136739400359,-15.6208455692117947,0.0604958857642249,https://etherscan.io/token/0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26
harvest-finance,270,FARM,Harvest Finance,672183.4507130000000000,,35678329.5914132328322383,6750040.1421545629227608,53.0782624201301471,-25.5081817631069507,66.3820632229271004,
fio-protocol,271,FIO,FIO Protocol,798673121.1447748000000000,1000000000.0000000000000000,34798925.6535505658029005,12845525.9805814286702802,0.0435709237387026,-25.7266341159444345,0.0540024637357774,https://fio.bloks.io/
wirex-token,272,WXT,Wirex Token,10000000000.0000000000000000,10000000000.0000000000000000,34764332.7679910000000000,1709629.1119931842636311,0.0034764332767991,-2.3397907449693488,0.0035379261900920,https://etherscan.io/token/0xa02120696c7B8fE16C09C749E4598819b2B0E915
travala,273,AVA,AVA,52287358.0000000000000000,100000000.0000000000000000,34519603.3058778263682124,2314841.1618090629108973,0.6601902376837978,-17.4196058629241105,0.7264409352595851,https://explorer.binance.org/asset/AVA-645
smartkey,274,SKEY,Skey Network,408751546.8815958000000000,,34057690.3268420374229694,362259.0644169374569731,0.0833212512262556,-7.8243774281609661,0.0866380216940876,https://etherscan.io/token/0x06A01a4d579479Dd5D884EBf61A31727A3d8D442
cream-finance,275,CREAM,Cream Finance,1855659.0000000000000000,,33723228.0334930122699960,109634.0701141529756438,18.1731816209190440,-18.0929663738225193,19.7748540134583814,
thunder-token,276,TT,ThunderCore,8614400793.0000000000000000,10000000000.0000000000000000,33231601.4605776342977298,7218021.9097189702241554,0.0038576799778786,-18.1796204032685168,0.0043673809923495,https://scan.thundercore.com/
ampleforth,277,AMPL,Ampleforth,28274493.6000000000000000,,32400618.6098338248093847,552537.0111856911334807,1.1459309959076977,-10.1797271720379541,1.2171458736881995,https://etherscan.io/token/0xd46ba6d942050d489dbd938a2c909a5d5039a161
bitmax-token,278,ASD,ASD,660615274.0000000000000000,,31703809.9094105162852870,1150461.6572115695858855,0.0479913364967255,-20.4998363481185356,0.0549520304263343,https://etherscan.io/token/0xcca0c9c383076649604ee31b20248bc04fdf61ca
reef,279,REEF,Reef,22821409581.0000000000000000,,30986747.0517756104426343,9026237.3995965370554017,0.0013577928629603,-28.4413665184298219,0.0016416312293598,https://etherscan.io/token/0xfe3e6a25e6b192a42a44ecddcd13796471735acf
adx-net,280,ADX,AdEx,144046026.9280000000000000,150000000.0000000000000000,30945774.3608922045153593,25524415.0591276180940827,0.2148325436033036,-13.8584821644144715,0.2374270296630023,https://etherscan.io/token/0xADE00C28244d5CE17D72E40330B1c318cD12B7c3
singularitydao,281,SDAO,SingularityDAO,82733203.7600000000000000,100000000.0000000000000000,28220741.0905977231465518,596484.8275914672941481,0.3411053822170723,-16.0922319381058715,0.3781789847637598,https://etherscan.io/token/0x993864e43caa7f7f12953ad6feb1d1ca635b875f
fox-token,282,FOX,FOX Token,377154162.4716418000000000,,27162051.9876466340469930,2076154.5114378783044317,0.0720184335488779,-20.1059812473523621,0.0798900373348679,https://etherscan.io/token/0xc770eefad204b5180df6a14ee197d99d808ee52d
unilend,283,UFT,UniLend,85050222.4123625000000000,100000000.0000000000000000,26742465.8377435730993935,190131.3535371515851318,0.3144314627195662,-16.4716947253246741,0.3464501418979243,https://etherscan.io/token/0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1
kryll,284,KRL,Kryll,36911368.6013746400000000,,23788480.3604051869801201,848240.9643075835752138,0.6444757065854032,-9.0178069353915043,0.6769131078056865,https://etherscan.io/token/0x464eBE77c293E473B48cFe96dDCf88fcF7bFDAC0
stratos,285,STOS,Stratos,38800874.0000000000000000,,22961615.8633777378197826,280555.4104257167987185,0.5917808929607549,-18.0780623969116279,0.6382342681603032,https://etherscan.io/token/0x08c32b0726C5684024ea6e141C50aDe9690bBdcc
morpheus-network,286,MNW,Morpheus.Network,47180013.8588000000000000,47897218.0000000000000000,22894976.6500301603442668,110668.8239380337917804,0.4852685443999673,-14.9060523884079721,0.5233204492454646,https://etherscan.io/token/0x7b0c06043468469967dba22d1af33d77d44056c8
hard-protocol,287,HARD,Kava Lend,134791668.0000000000000000,200000000.0000000000000000,22080734.8152492858379524,2338632.6379809817572359,0.1638137960815893,-16.2394371686859332,0.1852574399914052,https://www.mintscan.io/kava
paris-saint-germain-fan-token,288,PSG,Paris Saint-Germain Fan Token,6953739.0000000000000000,,22072719.8635069499749194,20479209.7449545084190873,3.1742232291874846,-13.4157404218034648,3.6078181787692564,https://explorer.chiliz.com/tokens/0x6fc212cde3b420733a88496cbdbb15d85beab1ca/token_transfers
sentinel,289,DVPN,Sentinel,20618016509.0000000000000000,,21856418.4988184788006924,194222.5466077386218174,0.0010600640701436,-17.6831506034868348,0.0011921675563989,https://etherscan.io/token/0xa44E5137293E855B1b7bC7E2C6f8cD796fFCB037
pluton,290,PLU,Pluton,9693016.7900000000000000,20000000.0000000000000000,21466967.3900527061620726,200686.8995627269114660,2.2146838136295755,-16.9607626569169121,2.3775248307082968,https://etherscan.io/token/Pluton
firo,291,FIRO,Firo,14435543.7408346500000000,,21441226.4082551946500902,1549311.4739360109933784,1.4853078479893465,-16.4335939842611737,1.5929472477839582,https://explorer.firo.org/
yearn-finance-ii,292,YFII,DFI.Money,38596.0000000000000000,39375.0000000000000000,20361158.0570787482925948,2818383.7200368082538821,527.5458093346136463,-14.0131018845583901,571.8656521171290643,https://etherscan.io/token/0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83
