exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
max-exchange,Max,38,0.047657783323890641000000000000000000,39284184.2822323004037362,22,False,https://max.maicoin.com/,1733801113013
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),39,0.043455430992052075000000000000000000,35820196.4106004705839096,2,True,https://sushi.com/,1733801139964
pancake-8453-univ3,PANCAKE UNIV3 (Base),40,0.042538420736613693000000000000000000,35064307.2913245511631497,1,True,https://pancakeswap.finance/,1733801121831
binanceus,Binance.US,41,0.039996721898385880000000000000000000,32969191.6861297218966430,45,False,https://www.binance.us/,1733801143047
itbit,Itbit,42,0.039736966187736274000000000000000000,32755075.7433849412000000,5,False,https://www.itbit.com/,1733801120192
sushi-8453-univ3,SUSHI UNIV3 (Base),43,0.038962147022641986000000000000000000,32116394.3624212808943595,1,True,https://sushi.com/,1733801117738
pancake-1-univ3,PANCAKE UNIV3 (Ethereum),44,0.031161489330041311000000000000000000,25686332.9339217386329435,1,True,https://pancakeswap.finance/,1733800841355
uniswap-137-univ3,UNISWAP UNIV3 (Polygon),45,0.021812224311393989000000000000000000,17979758.5974721796450431,3,True,https://uniswap.org/,1733801123128
kickex,KickEX,46,0.021694887775696303000000000000000000,17883038.4025764187420477,35,False,https://kickex.com,1733801136792
btcmarket,BTCMarket,47,0.021471288437950706000000000000000000,17698726.0620362366232944,6,False,https://www.btcmarkets.net/,1733801136611
uniswap-1-univ2,UNISWAP UNIV2 (Ethereum),48,0.018881751792013693000000000000000000,15564177.8789362555922971,4,True,https://uniswap.org/,1733801103424
coinmate,Coinmate,49,0.0079567321924196113558000000000000000000,6558713.2243872195517386,2,True,https://coinmate.io/,1733801142908
paribu,Paribu,50,0.0052336051426408393130000000000000000000,4314046.8260275977231507,9,False,https://www.paribu.com/,1733801141792
uniswap-8453-univ2,UNISWAP UNIV2 (Base),51,0.0041984312853710098881000000000000000000,3460755.7634373755433702,1,True,https://uniswap.org/,1733800566942
btcbox,BTCBOX,52,0.0017311474591010995940000000000000000000,1426980.2550584497646421,1,False,https://www.btcbox.co.jp,1733801130926
gopax,GOPAX,53,0.0011683763896053783327000000000000000000,963089.5563969316864704,26,False,https://www.gopax.co.kr/,1733801110050
